"","GO_ID","gene","colors","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","GOSlim_bin","aspect"
"1","GO:0000055","Pastreoides36707","cyan",0.0467648851038001,0.999447560119356,1,2,"ribosomal large subunit export from nucleus","BP","transport","P"
"2","GO:0000112","Pastreoides16591","cyan",0.0243076170206531,1,1,1,"nucleotide-excision repair factor 3 complex","CC","nucleus","C"
"3","GO:0000122","Pastreoides13280","cyan",0.0299705566697957,0.992394033525716,5,73,"negative regulation of transcription by RNA polymerase II","BP","RNA metabolism","P"
"4","GO:0000122","Pastreoides01779","cyan",0.0299705566697957,0.992394033525716,5,73,"negative regulation of transcription by RNA polymerase II","BP","RNA metabolism","P"
"5","GO:0000122","Pastreoides10362","cyan",0.0299705566697957,0.992394033525716,5,73,"negative regulation of transcription by RNA polymerase II","BP","RNA metabolism","P"
"6","GO:0000122","Pastreoides38729","cyan",0.0299705566697957,0.992394033525716,5,73,"negative regulation of transcription by RNA polymerase II","BP","RNA metabolism","P"
"7","GO:0000122","Pastreoides00674","cyan",0.0299705566697957,0.992394033525716,5,73,"negative regulation of transcription by RNA polymerase II","BP","RNA metabolism","P"
"8","GO:0000137","Pastreoides23817","cyan",0.049283176899139,0.999385647415578,1,2,"Golgi cis cisterna","CC","ER/Golgi","C"
"9","GO:0000221","Pastreoides18459","cyan",0.0240847940627806,1,1,1,"vacuolar proton-transporting V-type ATPase, V1 domain","CC","other cytoplasmic organelle","C"
"10","GO:0000914","Pastreoides54942","cyan",0.0241702733401362,1,1,1,"phragmoplast assembly","BP","cell cycle and proliferation","P"
"11","GO:0001503","Pastreoides34643","cyan",0.0180052725393417,0.999022914853816,2,9,"ossification","BP","developmental processes","P"
"12","GO:0001666","Pastreoides10372","cyan",0.0191088744360116,0.997673957219288,3,24,"response to hypoxia","BP","stress response","P"
"13","GO:0001775","Pastreoides12196","cyan",0.0471899247660333,0.99943734676279,1,2,"cell activation","BP","other biological processes","P"
"14","GO:0001954","Pastreoides36637","cyan",0.0233672829747639,1,1,1,"positive regulation of cell-matrix adhesion","BP","cell adhesion","P"
"15","GO:0002903","Pastreoides22065","cyan",0.000585405301371783,1,2,2,"negative regulation of B cell apoptotic process","BP","death","P"
"16","GO:0003676","Pastreoides15139","cyan",0.0191813080213827,0.994937156110193,6,89,"nucleic acid binding","MF","nucleic acid binding activity","F"
"17","GO:0003676","Pastreoides05685","cyan",0.0191813080213827,0.994937156110193,6,89,"nucleic acid binding","MF","nucleic acid binding activity","F"
"18","GO:0003676","Pastreoides60210","cyan",0.0191813080213827,0.994937156110193,6,89,"nucleic acid binding","MF","nucleic acid binding activity","F"
"19","GO:0003676","Pastreoides28136","cyan",0.0191813080213827,0.994937156110193,6,89,"nucleic acid binding","MF","nucleic acid binding activity","F"
"20","GO:0003676","Pastreoides19621","cyan",0.0191813080213827,0.994937156110193,6,89,"nucleic acid binding","MF","nucleic acid binding activity","F"
"21","GO:0005247","Pastreoides56943","cyan",0.0486677591543799,0.999401088887662,1,2,"voltage-gated chloride channel activity","MF","transporter activity","F"
"22","GO:0070603","Pastreoides03825","cyan",0.024413494920495,1,1,1,"SWI/SNF superfamily-type complex","CC","nucleus","C"
