Species,Date,Colony,planula.number,Length,Width,Notes
P. astreoides,20180704,R-7-A,2,0.821,0.758,
P. astreoides,20180704,R-7-A,3,0.836,0.613,
P. astreoides,20180704,R-7-A,4,0.753,0.691,
P. astreoides,20180704,R-7-A,5,0.812,0.729,
P. astreoides,20180704,R-7-A,6,0.849,0.733,
P. astreoides,20180704,R-7-A,7,0.688,0.585,
P. astreoides,20180704,R-7-A,8,0.836,0.832,
P. astreoides,20180704,R-7-A,9,0.854,0.757,
P. astreoides,20180704,R-7-A,10,0.81,0.79,
P. astreoides,20180704,P-15-A,1,0.944,0.777,
P. astreoides,20180704,P-15-A,2,0.68,0.668,
P. astreoides,20180704,P-15-A,3,0.843,0.831,
P. astreoides,20180704,P-15-A,4,0.76,0.626,
P. astreoides,20180704,P-15-A,5,0.59,0.575,
P. astreoides,20180704,P-15-A,6,0.79,0.771,
P. astreoides,20180704,P-15-A,7,0.653,0.615,
P. astreoides,20180704,P-15-A,8,0.808,0.749,
P. astreoides,20180704,P-15-A,9,0.777,0.71,
P. astreoides,20180704,P-15-A,10,0.872,0.708,
P. astreoides,20180704,P-10-A,1,0.773,0.563,
P. astreoides,20180704,P-10-A,2,0.817,0.803,
P. astreoides,20180704,P-10-A,3,0.747,0.682,
P. astreoides,20180704,P-10-A,4,0.687,0.582,
P. astreoides,20180704,P-10-A,5,0.76,0.709,
P. astreoides,20180704,P-10-A,6,0.715,0.661,
P. astreoides,20180704,P-10-A,7,0.671,0.617,
P. astreoides,20180704,P-10-A,8,0.594,0.556,
P. astreoides,20180704,P-10-A,9,0.745,0.634,
P. astreoides,20180704,R-15-A,1,0.636,0.493,
P. astreoides,20180704,R-15-A,2,0.889,0.797,
P. astreoides,20180704,R-15-A,3,0.85,0.651,
P. astreoides,20180704,R-15-A,4,0.719,0.522,
P. astreoides,20180704,R-15-A,5,0.656,0.522,
P. astreoides,20180704,R-15-A,6,0.981,0.684,
P. astreoides,20180704,R-15-A,7,0.766,0.6,
P. astreoides,20180704,R-15-A,8,0.885,0.689,
P. astreoides,20180704,R-15-A,9,0.871,0.782,
P. astreoides,20180704,R-15-A,10,0.803,0.798,
P. astreoides,20180704,P-12-A,1,0.731,0.707,
P. astreoides,20180704,P-12-A,2,0.826,0.808,
P. astreoides,20180704,P-12-A,3,0.769,0.67,
P. astreoides,20180704,P-12-A,4,0.653,0.639,
P. astreoides,20180704,P-12-A,5,0.716,0.625,
P. astreoides,20180704,P-12-A,6,0.792,0.478,
P. astreoides,20180704,P-12-A,7,0.856,0.765,
P. astreoides,20180704,P-12-A,8,0.642,0.578,
P. astreoides,20180704,P-12-A,9,0.672,0.671,
P. astreoides,20180704,P-12-A,10,0.821,0.754,
P. astreoides,20180704,P-14-A,1,0.928,0.627,
P. astreoides,20180704,P-14-A,2,0.862,0.793,
P. astreoides,20180704,P-14-A,3,0.731,0.621,
P. astreoides,20180704,P-14-A,4,0.76,0.548,
P. astreoides,20180704,P-14-A,5,0.829,0.819,
P. astreoides,20180704,P-14-A,6,0.88,0.799,
P. astreoides,20180704,P-14-A,7,0.919,0.902,
P. astreoides,20180704,P-14-A,8,0.805,0.757,
P. astreoides,20180704,P-14-A,9,0.832,0.693,
P. astreoides,20180704,P-14-A,10,0.74,0.712,
P. astreoides,20180705,R-14-B,1,0.791,0.727,
P. astreoides,20180705,R-14-B,2,0.669,0.656,
P. astreoides,20180705,R-14-B,3,0.741,0.649,
P. astreoides,20180705,R-14-B,4,0.666,0.578,
P. astreoides,20180705,R-14-B,5,0.788,0.699,
P. astreoides,20180705,R-14-B,6,0.653,0.641,
P. astreoides,20180705,R-14-B,7,0.687,0.629,
P. astreoides,20180705,R-14-B,8,0.657,0.611,
P. astreoides,20180705,R-14-B,9,0.747,0.725,
P. astreoides,20180705,R-14-B,10,0.863,0.756,
P. astreoides,20180705,R-11-A,1,0.739,0.736,
P. astreoides,20180705,R-11-A,2,0.652,0.598,
P. astreoides,20180705,R-11-A,3,0.721,0.638,
P. astreoides,20180705,R-11-A,4,0.81,0.659,
P. astreoides,20180705,R-11-A,5,0.922,0.604,
P. astreoides,20180705,R-11-A,6,1.012,0.777,
P. astreoides,20180705,R-11-A,7,0.883,0.756,
P. astreoides,20180705,R-11-A,8,0.883,0.841,
P. astreoides,20180705,R-11-A,9,0.939,0.937,
P. astreoides,20180705,R-7-A,1,0.605,0.526,
P. astreoides,20180705,R-7-A,2,0.432,0.425,
P. astreoides,20180705,R-7-A,3,0.553,0.521,
P. astreoides,20180705,R-7-A,4,0.526,0.496,
P. astreoides,20180705,R-7-A,5,0.632,0.554,
P. astreoides,20180705,R-7-A,6,0.526,0.493,
P. astreoides,20180705,R-7-A,7,0.634,0.583,
P. astreoides,20180705,R-7-A,8,0.741,0.664,
P. astreoides,20180705,R-7-A,9,0.55,0.482,
P. astreoides,20180705,P-6-A,1,0.914,0.903,
P. astreoides,20180705,P-6-A,2,0.902,0.857,
P. astreoides,20180705,P-6-A,3,0.892,0.656,
P. astreoides,20180705,P-6-A,4,0.721,0.561,
P. astreoides,20180705,P-6-A,5,0.954,0.746,
P. astreoides,20180705,P-6-A,6,0.951,0.788,
P. astreoides,20180705,P-6-A,7,0.737,0.72,
P. astreoides,20180705,P-6-A,8,0.731,0.662,
P. astreoides,20180705,P-6-A,9,0.782,0.61,
P. astreoides,20180705,P-6-A,10,0.708,0.683,
P. astreoides,20180705,P-12-A,1,1.067,0.961,
P. astreoides,20180705,P-12-A,2,0.898,0.822,
P. astreoides,20180705,P-12-A,3,0.825,0.404,
P. astreoides,20180705,P-12-A,4,0.777,0.684,
P. astreoides,20180705,P-12-A,5,0.807,0.726,
P. astreoides,20180705,P-12-A,6,0.563,0.523,
P. astreoides,20180705,P-12-A,7,0.691,0.578,
P. astreoides,20180705,P-12-A,8,0.762,0.368,
P. astreoides,20180705,P-12-A,9,1.043,0.781,
P. astreoides,20180705,P-12-A,10,0.918,0.813,
P. astreoides,20180705,P-12-A,11,0.825,0.782,
P. astreoides,20180705,R-15-A,1,0.848,0.663,
P. astreoides,20180705,R-15-A,2,0.9,0.88,
P. astreoides,20180705,R-15-A,3,1.063,0.887,
P. astreoides,20180705,R-15-A,4,0.794,0.733,
P. astreoides,20180705,R-15-A,5,0.928,0.814,
P. astreoides,20180705,R-15-A,6,0.708,0.664,
P. astreoides,20180705,R-15-A,7,0.88,0.724,
P. astreoides,20180705,R-15-A,8,0.765,0.712,
P. astreoides,20180705,R-15-A,9,0.707,0.594,
P. astreoides,20180705,P-14-A,1,0.975,0.885,
P. astreoides,20180705,P-14-A,2,1.049,0.854,
P. astreoides,20180705,P-14-A,3,0.845,0.747,
P. astreoides,20180705,P-14-A,4,0.923,0.794,
P. astreoides,20180705,P-14-A,5,0.817,0.661,
P. astreoides,20180705,P-14-A,6,0.903,0.862,
P. astreoides,20180705,P-14-A,7,1.035,0.902,
P. astreoides,20180705,P-14-A,8,0.873,0.684,
P. astreoides,20180705,P-14-A,9,0.91,0.757,
P. astreoides,20180706,R-5-A,1,0.693,0.642,
P. astreoides,20180706,R-5-A,2,0.68,0.501,
P. astreoides,20180706,R-5-A,3,0.613,0.6,
P. astreoides,20180706,R-5-A,4,0.896,0.885,
P. astreoides,20180706,R-5-A,5,0.702,0.688,
P. astreoides,20180706,R-5-A,6,0.64,0.611,
P. astreoides,20180706,R-5-A,7,0.798,0.785,
P. astreoides,20180706,R-5-A,8,0.871,0.87,
P. astreoides,20180706,R-5-A,9,0.636,0.611,
P. astreoides,20180706,R-5-A,10,0.685,0.594,
P. astreoides,20180706,P-14-A,1,0.836,0.785,
P. astreoides,20180706,P-14-A,2,0.782,0.707,
P. astreoides,20180706,P-14-A,3,0.754,0.652,
P. astreoides,20180706,P-14-A,4,0.824,0.674,
P. astreoides,20180706,P-14-A,5,0.724,0.542,
P. astreoides,20180706,P-14-A,6,0.753,0.652,
P. astreoides,20180706,P-14-A,7,0.769,0.761,
P. astreoides,20180706,P-14-A,8,0.71,0.699,
P. astreoides,20180706,P-14-A,9,0.895,0.844,
P. astreoides,20180706,P-15-A,1,0.774,0.68,
P. astreoides,20180706,P-15-A,2,0.72,0.699,
P. astreoides,20180706,P-15-A,3,0.677,0.523,
P. astreoides,20180706,P-15-A,4,0.816,0.727,
P. astreoides,20180706,P-15-A,5,0.659,0.614,
P. astreoides,20180706,P-15-A,6,0.896,0.839,
P. astreoides,20180706,P-15-A,7,0.598,0.581,
P. astreoides,20180706,P-15-A,8,0.635,0.377,
P. astreoides,20180706,P-15-A,9,0.582,0.569,
P. astreoides,20180706,P-15-A,10,0.595,0.453,
P. astreoides,20180706,R-14-B,1,0.925,0.549,
P. astreoides,20180706,R-14-B,2,0.847,0.671,
P. astreoides,20180706,R-14-B,3,0.589,0.504,
P. astreoides,20180706,R-14-B,4,0.665,0.647,
P. astreoides,20180706,R-14-B,5,0.622,0.586,
P. astreoides,20180706,R-14-B,6,0.606,0.55,
P. astreoides,20180706,R-14-B,7,0.509,0.492,
P. astreoides,20180706,R-14-B,8,0.914,0.671,
P. astreoides,20180706,R-14-B,9,0.574,0.54,
P. astreoides,20180706,R-14-B,10,0.558,0.524,
P. astreoides,20180706,R-7-A,1,0.639,0.565,
P. astreoides,20180706,R-7-A,2,0.572,0.514,
P. astreoides,20180706,R-7-A,3,0.69,0.543,
P. astreoides,20180706,R-7-A,4,0.689,0.657,
P. astreoides,20180706,R-7-A,5,0.583,0.515,
P. astreoides,20180706,R-7-A,6,0.711,0.704,
P. astreoides,20180706,R-7-A,7,0.591,0.58,
P. astreoides,20180706,R-7-A,8,0.708,0.517,
P. astreoides,20180706,R-7-A,9,0.714,0.565,
P. astreoides,20180706,R-7-A,10,0.891,0.765,
P. astreoides,20180706,P-4-A,1,0.809,0.798,
P. astreoides,20180706,P-4-A,2,0.807,0.754,
P. astreoides,20180706,P-4-A,3,0.794,0.69,
P. astreoides,20180706,P-4-A,4,0.833,0.853,
P. astreoides,20180706,P-4-A,5,0.773,0.678,
P. astreoides,20180706,P-4-A,6,0.857,0.787,
P. astreoides,20180706,P-4-A,7,0.741,0.671,
P. astreoides,20180706,P-4-A,8,0.849,0.676,
P. astreoides,20180706,P-4-A,9,0.714,0.591,
P. astreoides,20180706,P-4-A,10,0.87,0.76,
P. astreoides,20180706,P-6-A,1,0.854,0.826,
P. astreoides,20180706,P-6-A,2,0.789,0.717,
P. astreoides,20180706,P-6-A,3,0.792,0.705,
P. astreoides,20180706,P-6-A,4,0.527,0.51,
P. astreoides,20180706,P-6-A,5,0.824,0.738,
P. astreoides,20180706,P-6-A,6,0.742,0.731,
P. astreoides,20180706,P-6-A,7,0.585,0.568,
P. astreoides,20180706,P-6-A,8,0.814,0.716,
P. astreoides,20180706,P-6-A,9,0.585,0.568,
P. astreoides,20180706,P-6-A,10,0.816,0.76,
P. astreoides,20180706,R-11-A,1,0.845,0.723,
P. astreoides,20180706,R-11-A,2,0.807,0.687,
P. astreoides,20180706,R-11-A,3,0.792,0.7,
P. astreoides,20180706,R-11-A,4,0.75,0.711,
P. astreoides,20180706,R-11-A,5,0.953,0.702,
P. astreoides,20180706,R-11-A,6,0.765,0.724,
P. astreoides,20180706,R-11-A,7,0.877,0.748,
P. astreoides,20180706,R-11-A,8,0.957,0.845,
P. astreoides,20180706,R-11-A,9,0.854,0.816,
P. astreoides,20180706,R-11-A,10,0.893,0.759,
P. astreoides,20180706,P-9-A,1,0.744,0.678,
P. astreoides,20180706,P-9-A,2,0.711,0.54,
P. astreoides,20180706,P-9-A,3,0.667,0.606,
P. astreoides,20180706,P-9-A,4,0.541,0.445,
P. astreoides,20180706,P-9-A,5,0.689,0.515,
P. astreoides,20180706,P-9-A,6,0.619,0.554,
P. astreoides,20180706,P-9-A,7,0.623,0.574,
P. astreoides,20180706,P-9-A,8,0.559,0.529,
P. astreoides,20180706,P-9-A,9,0.717,0.532,
P. astreoides,20180706,P-9-A,10,0.692,0.576,
P. astreoides,20180706,P-16-A,1,0.634,0.522,
P. astreoides,20180706,P-16-A,2,0.704,0.676,
P. astreoides,20180706,P-16-A,3,0.707,0.684,
P. astreoides,20180706,P-16-A,4,0.687,0.657,
P. astreoides,20180706,P-16-A,5,0.669,0.622,
P. astreoides,20180706,P-16-A,6,0.742,0.665,
P. astreoides,20180706,P-16-A,7,0.507,0.397,
P. astreoides,20180706,P-16-A,8,0.874,0.825,
P. astreoides,20180706,P-16-A,9,0.629,0.599,
P. astreoides,20180706,P-16-A,10,0.649,0.562,
P. astreoides,20180706,P-12-A,1,0.671,0.603,
P. astreoides,20180706,P-12-A,2,0.737,0.587,
P. astreoides,20180706,P-12-A,3,0.657,0.55,
P. astreoides,20180706,P-12-A,4,0.718,0.536,
P. astreoides,20180706,P-12-A,5,0.738,0.669,
P. astreoides,20180706,P-12-A,6,0.779,0.754,
P. astreoides,20180706,P-12-A,7,0.973,0.782,
P. astreoides,20180706,P-12-A,8,0.781,0.713,
P. astreoides,20180706,P-12-A,9,0.547,0.437,
P. astreoides,20180706,P-12-A,10,0.83,0.797,
P. astreoides,20180706,R-15-A,1,1.017,0.808,
P. astreoides,20180706,R-15-A,2,0.988,0.822,
P. astreoides,20180706,R-15-A,3,0.832,0.689,
P. astreoides,20180706,R-15-A,4,0.844,0.698,
P. astreoides,20180706,R-15-A,5,0.788,0.697,
P. astreoides,20180706,R-15-A,6,0.854,0.751,
P. astreoides,20180706,R-15-A,7,0.97,0.866,
P. astreoides,20180706,R-15-A,8,0.793,0.697,
P. astreoides,20180706,R-15-A,9,0.812,0.572,
P. astreoides,20180706,R-15-A,10,0.457,0.335,
P. astreoides,20180706,P-3-A,1,0.503,0.503,
P. astreoides,20180706,P-3-A,2,0.781,0.718,
P. astreoides,20180706,P-3-A,3,0.659,0.636,
P. astreoides,20180706,P-3-A,4,0.919,0.718,
P. astreoides,20180706,P-3-A,5,0.63,0.461,
P. astreoides,20180706,P-3-A,6,0.406,0.343,
P. astreoides,20180706,P-3-A,7,0.831,0.793,
P. astreoides,20180706,P-3-A,8,0.862,0.788,
P. astreoides,20180706,P-3-A,9,0.88,0.726,
P. astreoides,20180706,P-3-A,10,0.655,0.533,
P. astreoides,20180707,P-4-A,1,0.802,0.718,
P. astreoides,20180707,P-4-A,2,0.639,0.528,
P. astreoides,20180707,P-4-A,3,0.809,0.796,
P. astreoides,20180707,P-4-A,4,0.764,0.706,
P. astreoides,20180707,P-4-A,5,0.727,0.682,
P. astreoides,20180707,P-4-A,6,0.72,0.656,
P. astreoides,20180707,P-4-A,7,0.762,0.709,
P. astreoides,20180707,P-4-A,8,0.804,0.747,
P. astreoides,20180707,P-4-A,9,0.81,0.745,
P. astreoides,20180707,P-4-A,10,0.84,0.773,
P. astreoides,20180707,P-4-B,1,0.657,0.603,
P. astreoides,20180707,P-4-B,2,0.677,0.658,
P. astreoides,20180707,P-4-B,3,0.654,0.603,
P. astreoides,20180707,P-4-B,4,0.777,0.759,
P. astreoides,20180707,P-4-B,5,0.628,0.603,
P. astreoides,20180707,P-4-B,6,0.78,0.712,
P. astreoides,20180707,P-4-B,7,0.574,0.568,
P. astreoides,20180707,P-4-B,8,0.517,0.392,
P. astreoides,20180707,P-4-B,9,0.575,0.562,
P. astreoides,20180707,P-6-A,1,0.489,0.456,
P. astreoides,20180707,P-6-A,2,0.742,0.635,
P. astreoides,20180707,P-6-A,3,0.844,0.824,
P. astreoides,20180707,P-6-A,4,0.594,0.456,
P. astreoides,20180707,P-6-A,5,0.759,0.755,
P. astreoides,20180707,P-6-A,6,0.941,0.914,
P. astreoides,20180707,P-6-A,7,0.903,0.843,
P. astreoides,20180707,P-6-A,8,0.672,0.601,
P. astreoides,20180707,P-6-A,9,0.768,0.748,
P. astreoides,20180707,P-9-A,1,0.805,0.658,
P. astreoides,20180707,P-9-A,2,0.687,0.658,
P. astreoides,20180707,P-9-A,3,0.775,0.727,
P. astreoides,20180707,P-9-A,4,0.737,0.673,
P. astreoides,20180707,P-9-A,5,0.799,0.711,
P. astreoides,20180707,P-9-A,6,0.757,0.468,
P. astreoides,20180707,P-9-A,7,0.697,0.613,
P. astreoides,20180707,P-9-A,8,0.745,0.679,
P. astreoides,20180707,P-9-A,9,0.763,0.724,
P. astreoides,20180707,P-9-A,10,0.622,0.574,
P. astreoides,20180707,P-10-A,1,0.631,0.595,
P. astreoides,20180707,P-10-A,2,0.642,0.525,
P. astreoides,20180707,P-10-A,3,0.693,0.683,
P. astreoides,20180707,P-10-A,4,0.655,0.532,
P. astreoides,20180707,P-10-A,5,0.69,0.654,
P. astreoides,20180707,P-10-A,6,0.715,0.606,
P. astreoides,20180707,P-10-A,7,0.589,0.572,
P. astreoides,20180707,P-10-A,8,0.855,0.795,
P. astreoides,20180707,P-10-A,9,0.581,0.58,
P. astreoides,20180707,P-10-A,10,0.647,0.593,
P. astreoides,20180707,P-10-B,1,0.753,0.752,
P. astreoides,20180707,P-10-B,2,0.693,0.683,
P. astreoides,20180707,P-10-B,3,0.627,0.571,
P. astreoides,20180707,P-10-B,4,0.665,0.628,
P. astreoides,20180707,P-10-B,5,0.724,0.63,
P. astreoides,20180707,P-10-B,6,0.725,0.702,
P. astreoides,20180707,P-10-B,7,0.581,0.522,
P. astreoides,20180707,P-10-B,8,0.829,0.459,
P. astreoides,20180707,P-10-B,9,0.758,0.658,
P. astreoides,20180707,P-12-A,1,0.727,0.727,
P. astreoides,20180707,P-12-A,2,0.542,0.495,
P. astreoides,20180707,P-12-A,3,0.644,0.583,
P. astreoides,20180707,P-12-A,4,0.557,0.506,
P. astreoides,20180707,P-12-A,5,0.527,0.523,
P. astreoides,20180707,P-12-A,6,0.815,0.786,
P. astreoides,20180707,P-12-A,7,0.754,0.676,
P. astreoides,20180707,P-12-A,8,0.629,0.561,
P. astreoides,20180707,P-12-A,9,0.629,0.609,
P. astreoides,20180707,P-12-A,10,0.827,0.686,
P. astreoides,20180707,P-12-B,1,0.604,0.581,
P. astreoides,20180707,P-12-B,2,0.716,0.653,
P. astreoides,20180707,P-12-B,3,0.661,0.652,
P. astreoides,20180707,P-12-B,4,0.66,0.596,
P. astreoides,20180707,P-12-B,5,0.58,0.531,
P. astreoides,20180707,P-12-B,6,0.624,0.611,
P. astreoides,20180707,P-12-B,7,0.626,0.612,
P. astreoides,20180707,P-12-B,8,0.666,0.477,
P. astreoides,20180707,P-12-B,9,0.695,0.607,
P. astreoides,20180707,P-12-B,10,0.7,0.653,
P. astreoides,20180707,P-14-A,1,0.915,0.819,
P. astreoides,20180707,P-14-A,2,0.82,0.792,
P. astreoides,20180707,P-14-A,3,0.477,0.45,
P. astreoides,20180707,P-14-A,4,0.874,0.859,
P. astreoides,20180707,P-14-A,5,0.644,0.619,
P. astreoides,20180707,P-14-A,6,0.65,0.616,
P. astreoides,20180707,P-14-A,7,0.712,0.632,
P. astreoides,20180707,P-14-A,8,0.583,0.561,
P. astreoides,20180707,P-14-A,9,0.755,0.696,
P. astreoides,20180707,P-14-A,10,0.657,0.635,
P. astreoides,20180707,P-14-B,1,0.587,0.575,
P. astreoides,20180707,P-14-B,2,0.661,0.629,
P. astreoides,20180707,P-14-B,3,0.58,0.495,
P. astreoides,20180707,P-14-B,4,0.514,0.514,
P. astreoides,20180707,P-14-B,5,0.657,0.609,
P. astreoides,20180707,P-14-B,6,0.649,0.646,
P. astreoides,20180707,P-14-B,7,0.709,0.669,
P. astreoides,20180707,P-14-B,8,0.813,0.803,
P. astreoides,20180707,P-14-B,9,0.729,0.7,
P. astreoides,20180707,P-14-B,10,0.662,0.644,
P. astreoides,20180707,P-15-A,1,0.495,0.476,
P. astreoides,20180707,P-15-A,2,0.72,0.573,
P. astreoides,20180707,P-15-A,3,0.628,0.603,
P. astreoides,20180707,P-15-A,4,0.577,0.523,
P. astreoides,20180707,P-15-A,5,0.724,0.689,
P. astreoides,20180707,P-15-A,6,0.627,0.569,
P. astreoides,20180707,P-15-A,7,0.528,0.485,
P. astreoides,20180707,P-15-A,8,0.596,0.576,
P. astreoides,20180707,P-15-A,9,0.823,0.724,
P. astreoides,20180707,P-15-A,10,0.351,0.339,
P. astreoides,20180707,P-15-B,1,0.779,0.673,
P. astreoides,20180707,P-15-B,2,0.694,0.58,
P. astreoides,20180707,P-15-B,3,0.6,0.503,
P. astreoides,20180707,P-15-B,4,0.711,0.602,
P. astreoides,20180707,P-15-B,5,0.682,0.656,
P. astreoides,20180707,P-15-B,6,0.772,0.687,
P. astreoides,20180707,P-15-B,7,0.56,0.499,
P. astreoides,20180707,P-15-B,8,0.627,0.543,
P. astreoides,20180707,P-15-B,9,0.642,0.546,
P. astreoides,20180707,P-15-B,10,0.785,0.709,
P. astreoides,20180707,P-16-A,1,0.829,0.819,
P. astreoides,20180707,P-16-A,2,0.684,0.665,
