"","Sample","NCBI_Sample_Name","Coral.ID","History","Timepoint","LifeStage","DNA_QBIT_result","DNA_Gel_Results","Notebook.link","Plate","Well","Sample.ID","KW.or.ES","Type"
"1","18-106","Adult_P-19-A_Patch-Heated-Patch","P-19-A","Patch-Heated-Patch",2018,"Adult",28,"High Molecular weight","https://kevinhwong1.github.io/KevinHWong_Notebook/DNA-Extractions-for-adult-homogenates-of-Porites-Thermal-Transplant-Batch-6/",1,"A7","HPW049","KW","ITS2"
"2","18-118","Adult_P-6-A_Patch-Ambient-Patch","P-6-A","Patch-Ambient-Patch",2018,"Adult",25.6,"Fragmented - usable","https://kevinhwong1.github.io/KevinHWong_Notebook/DNA-Extractions-for-adult-homogenates-of-Porites-Thermal-Transplant-Batch-7/",1,"D1","HPW004","KW","ITS2"
"3","18-130","Adult_R-5-A_Rim-Ambient-Patch","R-5-A","Rim-Ambient-Patch",2018,"Adult",19.2,"Fragmented - usable","https://kevinhwong1.github.io/KevinHWong_Notebook/DNA-Extractions-for-adult-homogenates-of-Porites-Thermal-Transplant-Batch-7/",1,"F4","HPW030","KW","ITS2"
"4","18-142","Adult_R-8-A_Rim-Ambient-Patch","R-8-A","Rim-Ambient-Patch",2018,"Adult",37.2,"High molecular weight","https://kevinhwong1.github.io/KevinHWong_Notebook/DNA-Extractions-for-adult-homogenates-of-Porites-Thermal-Transplant/",1,"E6","HPW045","KW","ITS2"
"5","18-167","Adult_R-19-A_Rim-Heated-Patch","R-19-A","Rim-Heated-Patch",2018,"Adult",15.1,"High Molecular weight","https://kevinhwong1.github.io/KevinHWong_Notebook/DNA-Extractions-for-adult-homogenates-of-Porites-Thermal-Transplant-Batch-6/",1,"E4","HPW029","KW","ITS2"
"6","18-178","Adult_R-5-B_Rim-Ambient-Rim","R-5-B","Rim-Ambient-Rim",2018,"Adult",8.42,"High Molecular weight","https://kevinhwong1.github.io/KevinHWong_Notebook/DNA-Extractions-for-adult-homogenates-of-Porites-Thermal-Transplant-Batch-7/",1,"D3","HPW020","KW","ITS2"
"7","18-190","Adult_P-14-A_Patch-Heated-Patch","P-14-A","Patch-Heated-Patch",2018,"Adult",16.2,"High molecular weight","https://kevinhwong1.github.io/KevinHWong_Notebook/DNA-Extractions-for-adult-homogenates-of-Porites-Thermal-Transplant-Batch-5/",1,"F5","HPW038","KW","ITS2"
"8","18-20","Adult_R-7-B_RIm-Ambient-Rim","R-7-B","RIm-Ambient-Rim",2018,"Adult",30.2,"High molecular weight","https://kevinhwong1.github.io/KevinHWong_Notebook/DNA-Extractions-for-adult-homogenates-of-Porites-Thermal-Transplant-Batch-5/",1,"H3","HPW024","KW","ITS2"
"9","18-202","Adult_P-4-A_Patch-Ambient-Patch","P-4-A","Patch-Ambient-Patch",2018,"Adult",21.6,"High Molecular weight","https://kevinhwong1.github.io/KevinHWong_Notebook/DNA-Extractions-for-adult-homogenates-of-Porites-Thermal-Transplant-Batch-7/",1,"E7","HPW053","KW","ITS2"
"10","18-227","Adult_R-11-A_Rim-Heated-Patch","R-11-A","Rim-Heated-Patch",2018,"Adult",29.2,"Fragmented","https://kevinhwong1.github.io/KevinHWong_Notebook/DNA-Extractions-for-adult-homogenates-of-Porites-Thermal-Transplant-Batch-8/",1,"B5","HPW034","KW","ITS2"
