Well,Chl:630,Chl:663,Chl:750
A1,0.251,0.256,0.225
B1,0.039,0.041,0.041
C1,0.032,0.032,0.032
D1,0.043,0.043,0.043
E1,0.047,0.047,0.046
F1,0.05,0.051,0.05
G1,0.035,0.035,0.035
H1,0.04,0.04,0.04
A2,0.305,0.314,0.278
B2,0.037,0.036,0.036
C2,0.031,0.031,0.031
D2,0.036,0.036,0.035
E2,0.04,0.04,0.04
F2,0.049,0.049,0.048
G2,0.056,0.056,0.055
H2,0.046,0.046,0.046
A3,0.27,0.277,0.244
B3,0.033,0.032,0.032
C3,0.033,0.033,0.033
D3,0.054,0.055,0.054
E3,0.049,0.047,0.046
F3,0.049,0.05,0.049
G3,0.032,0.033,0.032
H3,0.039,0.039,0.038
A4,0.172,0.182,0.16
B4,0.033,0.032,0.032
C4,0.036,0.036,0.036
D4,0.044,0.044,0.043
E4,0.063,0.064,0.063
F4,0.044,0.044,0.044
G4,0.045,0.045,0.045
H4,0.036,0.036,0.036
A5,0.171,0.181,0.16
B5,0.029,0.029,0.029
C5,0.032,0.032,0.032
D5,0.035,0.035,0.034
E5,0.037,0.036,0.036
F5,0.037,0.037,0.037
G5,0.038,0.037,0.036
H5,0.032,0.032,0.032
A6,0.18,0.194,0.168
B6,0.032,0.032,0.031
C6,0.03,0.03,0.03
D6,0.041,0.041,0.04
E6,0.044,0.043,0.043
F6,0.038,0.038,0.038
G6,0.034,0.034,0.034
H6,0.037,0.037,0.036
A7,0.179,0.189,0.163
B7,0.033,0.033,0.033
C7,0.035,0.034,0.034
D7,0.031,0.031,0.031
E7,0.044,0.045,0.045
F7,0.052,0.052,0.051
G7,0.036,0.036,0.036
H7,0.032,0.032,0.032
A8,0.187,0.194,0.165
B8,0.039,0.039,0.038
C8,0.032,0.032,0.031
D8,0.031,0.031,0.03
E8,0.04,0.04,0.041
F8,0.039,0.039,0.038
G8,0.033,0.033,0.033
H8,0.048,0.048,0.048
A9,0.172,0.183,0.157
B9,0.034,0.033,0.032
C9,0.04,0.04,0.04
D9,0.032,0.033,0.034
E9,0.029,0.029,0.029
F9,0.041,0.041,0.04
G9,0.038,0.038,0.038
H9,0.038,0.038,0.038
A10,0.155,0.17,0.144
B10,0.034,0.033,0.033
C10,0.033,0.033,0.033
D10,0.033,0.033,0.034
E10,0.033,0.033,0.033
F10,0.045,0.045,0.045
G10,0.033,0.033,0.033
H10,0.039,0.04,0.039
A11,0.175,0.19,0.166
B11,0.031,0.031,0.031
C11,0.037,0.037,0.036
D11,0.031,0.031,0.031
E11,0.047,0.047,0.046
F11,0.035,0.035,0.035
G11,0.03,0.03,0.03
H11,0.04,0.04,0.04
A12,0.189,0.202,0.175
B12,0.036,0.036,0.036
C12,0.04,0.04,0.04
D12,0.044,0.044,0.042
E12,0.037,0.037,0.037
F12,0.041,0.041,0.041
G12,0.052,0.052,0.051
H12,0.063,0.063,0.062
