Well,Chl:630,Chl:663,Chl:750
A1,0.27,0.285,0.241
B1,0.041,0.044,0.045
C1,0.033,0.033,0.032
D1,0.039,0.039,0.039
E1,0.047,0.047,0.047
F1,0.05,0.05,0.049
G1,0.036,0.036,0.035
H1,0.04,0.04,0.04
A2,0.305,0.327,0.274
B2,0.037,0.037,0.036
C2,0.034,0.034,0.034
D2,0.038,0.037,0.036
E2,0.041,0.04,0.04
F2,0.049,0.049,0.048
G2,0.055,0.055,0.055
H2,0.046,0.046,0.046
A3,0.293,0.316,0.26
B3,0.033,0.032,0.032
C3,0.033,0.033,0.032
D3,0.046,0.046,0.046
E3,0.055,0.053,0.051
F3,0.047,0.047,0.046
G3,0.033,0.033,0.033
H3,0.04,0.04,0.039
A4,0.239,0.257,0.216
B4,0.032,0.032,0.031
C4,0.035,0.035,0.035
D4,0.039,0.039,0.039
E4,0.063,0.065,0.065
F4,0.047,0.045,0.044
G4,0.046,0.046,0.045
H4,0.032,0.032,0.032
A5,0.234,0.26,0.212
B5,0.029,0.029,0.028
C5,0.038,0.038,0.037
D5,0.072,0.071,0.071
E5,0.037,0.036,0.036
F5,0.037,0.037,0.037
G5,0.037,0.037,0.037
H5,0.033,0.033,0.032
A6,0.198,0.22,0.174
B6,0.031,0.031,0.03
C6,0.029,0.029,0.029
D6,0.036,0.036,0.037
E6,0.048,0.047,0.046
F6,0.037,0.037,0.036
G6,0.034,0.034,0.034
H6,0.038,0.038,0.038
A7,0.308,0.32,0.272
B7,0.033,0.033,0.033
C7,0.038,0.039,0.038
D7,0.031,0.031,0.031
E7,0.036,0.036,0.036
F7,0.054,0.054,0.053
G7,0.036,0.036,0.036
H7,0.032,0.033,0.032
A8,0.379,0.394,0.335
B8,0.03,0.03,0.03
C8,0.036,0.037,0.036
D8,0.037,0.037,0.036
E8,0.048,0.047,0.047
F8,0.041,0.041,0.041
G8,0.034,0.034,0.034
H8,0.05,0.049,0.049
A9,0.336,0.354,0.299
B9,0.03,0.03,0.03
C9,0.041,0.041,0.04
D9,0.032,0.033,0.032
E9,0.029,0.029,0.029
F9,0.043,0.042,0.041
G9,0.048,0.048,0.047
H9,0.038,0.038,0.038
A10,0.385,0.405,0.363
B10,0.03,0.03,0.03
C10,0.032,0.032,0.032
D10,0.031,0.031,0.03
E10,0.031,0.031,0.031
F10,0.045,0.045,0.044
G10,0.033,0.033,0.033
H10,0.041,0.041,0.041
A11,0.383,0.401,0.358
B11,0.031,0.031,0.031
C11,0.038,0.038,0.037
D11,0.03,0.03,0.03
E11,0.047,0.047,0.046
F11,0.035,0.035,0.035
G11,0.032,0.032,0.032
H11,0.04,0.04,0.039
A12,0.438,0.45,0.404
B12,0.035,0.035,0.035
C12,0.038,0.038,0.038
D12,0.039,0.039,0.039
E12,0.031,0.031,0.03
F12,0.045,0.043,0.041
G12,0.057,0.057,0.056
H12,0.064,0.064,0.063
