Well,Chl:630,Chl:663,Chl:750
A1,0.083,0.103,0.074
B1,0.034,0.035,0.033
C1,0.035,0.035,0.036
D1,0.036,0.036,0.037
E1,0.046,0.046,0.046
F1,0.043,0.043,0.042
G1,0.037,0.038,0.037
H1,0.035,0.035,0.035
A2,0.102,0.121,0.083
B2,0.034,0.034,0.034
C2,0.028,0.028,0.028
D2,0.048,0.048,0.048
E2,0.045,0.045,0.045
F2,0.044,0.043,0.042
G2,0.05,0.05,0.05
H2,0.053,0.053,0.053
A3,0.085,0.105,0.067
B3,0.032,0.032,0.031
C3,0.027,0.027,0.027
D3,0.035,0.035,0.035
E3,0.035,0.035,0.035
F3,0.053,0.053,0.052
G3,0.048,0.048,0.048
H3,0.05,0.05,0.05
A4,0.076,0.092,0.067
B4,0.031,0.031,0.031
C4,0.032,0.032,0.032
D4,0.038,0.038,0.037
E4,0.046,0.045,0.045
F4,0.05,0.05,0.05
G4,0.052,0.052,0.052
H4,0.045,0.045,0.044
A5,0.079,0.094,0.067
B5,0.033,0.033,0.032
C5,0.029,0.029,0.029
D5,0.033,0.034,0.033
E5,0.041,0.041,0.041
F5,0.053,0.052,0.051
G5,0.04,0.04,0.039
H5,0.045,0.045,0.045
A6,0.116,0.127,0.098
B6,0.029,0.029,0.029
C6,0.028,0.028,0.028
D6,0.032,0.032,0.032
E6,0.044,0.044,0.043
F6,0.043,0.043,0.042
G6,0.034,0.034,0.033
H6,0.061,0.061,0.061
A7,0.08,0.096,0.064
B7,0.032,0.032,0.031
C7,0.03,0.03,0.03
D7,0.034,0.034,0.033
E7,0.033,0.033,0.032
F7,0.056,0.056,0.055
G7,0.034,0.034,0.034
H7,0.048,0.047,0.047
A8,0.074,0.094,0.059
B8,0.03,0.029,0.029
C8,0.034,0.033,0.033
D8,0.037,0.037,0.036
E8,0.031,0.031,0.03
F8,0.037,0.037,0.036
G8,0.033,0.033,0.033
H8,0.034,0.034,0.034
A9,0.067,0.086,0.054
B9,0.03,0.03,0.03
C9,0.059,0.059,0.058
D9,0.046,0.046,0.045
E9,0.037,0.037,0.037
F9,0.055,0.055,0.055
G9,0.043,0.042,0.042
H9,0.034,0.034,0.034
A10,0.133,0.14,0.111
B10,0.029,0.029,0.028
C10,0.031,0.032,0.031
D10,0.031,0.031,0.031
E10,0.03,0.03,0.03
F10,0.037,0.037,0.036
G10,0.031,0.031,0.031
H10,0.034,0.034,0.033
A11,0.12,0.132,0.101
B11,0.031,0.031,0.031
C11,0.028,0.028,0.028
D11,0.033,0.033,0.033
E11,0.042,0.042,0.042
F11,0.04,0.04,0.039
G11,0.032,0.032,0.032
H11,0.032,0.032,0.032
A12,0.129,0.138,0.105
B12,0.034,0.034,0.034
C12,0.049,0.05,0.053
D12,0.036,0.036,0.036
E12,0.033,0.033,0.033
F12,0.038,0.038,0.038
G12,0.042,0.042,0.042
H12,0.048,0.048,0.047
