Well,Chl:630,Chl:663,Chl:750
A1,0.368,0.372,0.339
B1,0.037,0.036,0.035
C1,0.031,0.031,0.031
D1,0.045,0.045,0.045
E1,0.042,0.043,0.042
F1,0.042,0.042,0.042
G1,0.037,0.04,0.036
H1,0.047,0.045,0.045
A2,0.392,0.398,0.362
B2,0.035,0.035,0.034
C2,0.035,0.035,0.035
D2,0.035,0.035,0.034
E2,0.055,0.054,0.054
F2,0.063,0.062,0.061
G2,0.032,0.032,0.032
H2,0.047,0.047,0.047
A3,0.354,0.365,0.325
B3,0.031,0.031,0.03
C3,0.035,0.036,0.035
D3,0.038,0.037,0.037
E3,0.029,0.03,0.029
F3,0.04,0.04,0.039
G3,0.037,0.037,0.036
H3,0.04,0.04,0.04
A4,0.332,0.337,0.307
B4,0.039,0.038,0.036
C4,0.031,0.031,0.031
D4,0.037,0.037,0.037
E4,0.033,0.033,0.033
F4,0.057,0.057,0.057
G4,0.061,0.06,0.06
H4,0.034,0.034,0.034
A5,0.435,0.443,0.402
B5,0.031,0.031,0.03
C5,0.031,0.031,0.031
D5,0.035,0.035,0.036
E5,0.033,0.033,0.033
F5,0.04,0.04,0.04
G5,0.039,0.039,0.039
H5,0.036,0.036,0.036
A6,0.345,0.352,0.323
B6,0.031,0.031,0.031
C6,0.032,0.033,0.033
D6,0.039,0.04,0.04
E6,0.035,0.035,0.035
F6,0.039,0.039,0.038
G6,0.037,0.038,0.037
H6,0.039,0.039,0.039
A7,0.172,0.183,0.156
B7,0.033,0.033,0.032
C7,0.035,0.035,0.035
D7,0.032,0.032,0.031
E7,0.037,0.036,0.035
F7,0.059,0.059,0.058
G7,0.063,0.064,0.064
H7,0.034,0.034,0.034
A8,0.193,0.205,0.174
B8,0.03,0.03,0.03
C8,0.035,0.035,0.035
D8,0.028,0.028,0.028
E8,0.032,0.032,0.032
F8,0.044,0.044,0.043
G8,0.044,0.044,0.044
H8,0.061,0.061,0.06
A9,0.167,0.179,0.152
B9,0.03,0.03,0.029
C9,0.041,0.041,0.04
D9,0.03,0.03,0.029
E9,0.028,0.028,0.028
F9,0.044,0.044,0.043
G9,0.057,0.058,0.057
H9,0.043,0.043,0.043
A10,0.145,0.154,0.13
B10,0.032,0.032,0.032
C10,0.034,0.034,0.034
D10,0.03,0.031,0.03
E10,0.031,0.031,0.031
F10,0.048,0.048,0.048
G10,0.046,0.046,0.045
H10,0.052,0.052,0.052
A11,0.174,0.184,0.158
B11,0.031,0.031,0.031
C11,0.037,0.038,0.037
D11,0.03,0.03,0.03
E11,0.039,0.04,0.041
F11,0.064,0.064,0.063
G11,0.05,0.05,0.049
H11,0.086,0.085,0.085
A12,0.166,0.178,0.149
B12,0.036,0.036,0.035
C12,0.039,0.039,0.039
D12,0.04,0.04,0.04
E12,0.031,0.031,0.03
F12,0.052,0.052,0.052
G12,0.063,0.063,0.061
H12,0.082,0.082,0.081
