Well,Chl:630,Chl:663,Chl:750
A1,0.049,0.057,0.044
B1,0.035,0.035,0.035
C1,0.035,0.035,0.035
D1,0.033,0.033,0.033
E1,0.037,0.037,0.036
F1,0.037,0.037,0.036
G1,0.03,0.03,0.03
H1,0.028,0.028,0.027
A2,0.052,0.062,0.046
B2,0.033,0.033,0.033
C2,0.032,0.032,0.031
D2,0.032,0.032,0.032
E2,0.033,0.033,0.032
F2,0.032,0.032,0.032
G2,0.033,0.033,0.033
H2,0.035,0.034,0.034
A3,0.055,0.066,0.049
B3,0.035,0.035,0.034
C3,0.032,0.031,0.031
D3,0.031,0.031,0.03
E3,0.036,0.036,0.036
F3,0.033,0.033,0.032
G3,0.031,0.031,0.031
H3,0.04,0.04,0.039
A4,0.046,0.049,0.042
B4,0.031,0.031,0.03
C4,0.031,0.031,0.03
D4,0.031,0.03,0.03
E4,0.031,0.031,0.03
F4,0.031,0.031,0.031
G4,0.029,0.029,0.029
H4,0.041,0.041,0.041
A5,0.044,0.048,0.041
B5,0.029,0.029,0.028
C5,0.032,0.031,0.031
D5,0.031,0.031,0.03
E5,0.03,0.03,0.03
F5,0.03,0.03,0.029
G5,0.031,0.03,0.03
H5,0.034,0.033,0.032
A6,0.043,0.046,0.04
B6,0.029,0.029,0.029
C6,0.03,0.029,0.029
D6,0.03,0.03,0.029
E6,0.03,0.029,0.029
F6,0.029,0.029,0.029
G6,0.03,0.03,0.029
H6,0.042,0.04,0.038
A7,0.05,0.051,0.047
B7,0.03,0.03,0.029
C7,0.029,0.029,0.029
D7,0.032,0.031,0.031
E7,0.029,0.029,0.029
F7,0.036,0.036,0.035
G7,0.03,0.029,0.029
H7,0.032,0.031,0.031
A8,0.044,0.046,0.042
B8,0.029,0.029,0.029
C8,0.032,0.031,0.031
D8,0.029,0.029,0.028
E8,0.029,0.029,0.029
F8,0.035,0.035,0.034
G8,0.03,0.03,0.03
H8,0.032,0.031,0.031
A9,0.041,0.043,0.039
B9,0.03,0.03,0.029
C9,0.056,0.056,0.056
D9,0.035,0.035,0.035
E9,0.031,0.031,0.03
F9,0.032,0.031,0.031
G9,0.029,0.028,0.028
H9,0.031,0.031,0.031
A10,0.066,0.078,0.058
B10,0.03,0.029,0.029
C10,0.031,0.031,0.03
D10,0.029,0.029,0.029
E10,0.029,0.029,0.029
F10,0.031,0.031,0.03
G10,0.03,0.03,0.03
H10,0.032,0.032,0.031
A11,0.068,0.081,0.057
B11,0.031,0.031,0.03
C11,0.035,0.035,0.035
D11,0.03,0.03,0.03
E11,0.045,0.045,0.044
F11,0.035,0.035,0.035
G11,0.035,0.034,0.034
H11,0.029,0.029,0.029
A12,0.082,0.093,0.069
B12,0.033,0.033,0.033
C12,0.041,0.041,0.041
D12,0.037,0.037,0.036
E12,0.033,0.032,0.031
F12,0.037,0.037,0.036
G12,0.038,0.037,0.037
H12,0.04,0.04,0.039
