Well,Chl:630,Chl:663,Chl:750
A1,0.158,0.167,0.14
B1,0.038,0.037,0.036
C1,0.048,0.047,0.046
D1,0.048,0.048,0.048
E1,0.048,0.048,0.047
F1,0.065,0.064,0.063
G1,0.034,0.034,0.034
H1,0.039,0.039,0.039
A2,0.215,0.224,0.193
B2,0.042,0.042,0.041
C2,0.036,0.036,0.035
D2,0.036,0.036,0.036
E2,0.069,0.068,0.068
F2,0.035,0.035,0.035
G2,0.049,0.049,0.049
H2,0.054,0.054,0.053
A3,0.239,0.251,0.22
B3,0.044,0.043,0.042
C3,0.044,0.046,0.042
D3,0.038,0.037,0.037
E3,0.051,0.051,0.05
F3,0.056,0.055,0.055
G3,0.05,0.049,0.049
H3,0.06,0.06,0.059
A4,0.225,0.232,0.198
B4,0.051,0.05,0.05
C4,0.049,0.047,0.045
D4,0.038,0.038,0.038
E4,0.057,0.057,0.057
F4,0.039,0.039,0.039
G4,0.045,0.045,0.045
H4,0.059,0.059,0.059
A5,0.233,0.246,0.207
B5,0.058,0.058,0.057
C5,0.036,0.036,0.035
D5,0.044,0.044,0.043
E5,0.044,0.043,0.043
F5,0.052,0.051,0.052
G5,0.054,0.054,0.054
H5,0.054,0.054,0.054
A6,0.308,0.316,0.277
B6,0.036,0.036,0.036
C6,0.034,0.034,0.034
D6,0.042,0.042,0.042
E6,0.044,0.043,0.043
F6,0.053,0.052,0.052
G6,0.037,0.037,0.037
H6,0.07,0.07,0.069
A7,0.148,0.147,0.135
B7,0.04,0.039,0.039
C7,0.038,0.038,0.037
D7,0.033,0.033,0.033
E7,0.036,0.036,0.036
F7,0.047,0.047,0.047
G7,0.118,0.117,0.115
H7,0.075,0.075,0.074
A8,0.13,0.133,0.121
B8,0.034,0.035,0.034
C8,0.036,0.035,0.035
D8,0.031,0.031,0.03
E8,0.049,0.05,0.049
F8,0.082,0.081,0.08
G8,0.036,0.036,0.035
H8,0.061,0.061,0.06
A9,0.114,0.119,0.108
B9,0.032,0.032,0.031
C9,0.042,0.042,0.041
D9,0.033,0.033,0.032
E9,0.027,0.027,0.027
F9,0.051,0.051,0.05
G9,0.032,0.032,0.032
H9,0.062,0.062,0.061
A10,0.103,0.105,0.095
B10,0.043,0.043,0.042
C10,0.034,0.034,0.033
D10,0.03,0.03,0.03
E10,0.031,0.031,0.031
F10,0.06,0.06,0.059
G10,0.046,0.046,0.045
H10,0.048,0.048,0.048
A11,0.112,0.115,0.104
B11,0.036,0.036,0.035
C11,0.045,0.048,0.048
D11,0.031,0.031,0.03
E11,0.04,0.041,0.043
F11,0.053,0.053,0.052
G11,0.049,0.049,0.049
H11,0.053,0.053,0.053
A12,0.109,0.111,0.1
B12,0.039,0.038,0.038
C12,0.042,0.042,0.042
D12,0.032,0.032,0.032
E12,0.037,0.035,0.035
F12,0.07,0.069,0.062
G12,0.084,0.084,0.084
H12,0.057,0.057,0.056
