Well,Chl:630,Chl:663,Chl:750
A1,0.056,0.065,0.048
B1,0.032,0.032,0.031
C1,0.04,0.04,0.039
D1,0.036,0.036,0.035
E1,0.045,0.045,0.044
F1,0.039,0.039,0.039
G1,0.039,0.039,0.039
H1,0.035,0.035,0.035
A2,0.061,0.071,0.052
B2,0.034,0.034,0.034
C2,0.029,0.029,0.029
D2,0.029,0.029,0.029
E2,0.038,0.038,0.037
F2,0.034,0.034,0.034
G2,0.051,0.051,0.05
H2,0.053,0.053,0.052
A3,0.109,0.112,0.084
B3,0.034,0.034,0.033
C3,0.033,0.033,0.033
D3,0.031,0.032,0.031
E3,0.03,0.03,0.03
F3,0.039,0.039,0.038
G3,0.043,0.043,0.043
H3,0.049,0.049,0.049
A4,0.074,0.089,0.068
B4,0.032,0.032,0.032
C4,0.035,0.035,0.035
D4,0.033,0.034,0.034
E4,0.042,0.04,0.038
F4,0.041,0.041,0.041
G4,0.051,0.051,0.051
H4,0.041,0.041,0.041
A5,0.091,0.111,0.081
B5,0.03,0.03,0.03
C5,0.031,0.031,0.03
D5,0.031,0.032,0.031
E5,0.032,0.032,0.032
F5,0.042,0.042,0.042
G5,0.037,0.038,0.037
H5,0.041,0.041,0.041
A6,0.133,0.168,0.142
B6,0.03,0.03,0.03
C6,0.029,0.03,0.029
D6,0.03,0.03,0.03
E6,0.032,0.032,0.032
F6,0.044,0.044,0.043
G6,0.032,0.032,0.032
H6,0.064,0.064,0.063
A7,0.11,0.142,0.115
B7,0.032,0.032,0.031
C7,0.034,0.034,0.034
D7,0.03,0.03,0.03
E7,0.03,0.03,0.03
F7,0.04,0.041,0.04
G7,0.031,0.031,0.031
H7,0.045,0.045,0.045
A8,0.11,0.131,0.095
B8,0.029,0.03,0.029
C8,0.034,0.034,0.034
D8,0.031,0.031,0.031
E8,0.029,0.03,0.029
F8,0.035,0.035,0.035
G8,0.031,0.031,0.031
H8,0.033,0.033,0.033
A9,0.091,0.11,0.077
B9,0.03,0.03,0.03
C9,0.056,0.056,0.055
D9,0.029,0.029,0.028
E9,0.032,0.032,0.032
F9,0.053,0.053,0.052
G9,0.039,0.039,0.039
H9,0.033,0.033,0.033
A10,0.065,0.072,0.056
B10,0.03,0.03,0.03
C10,0.028,0.028,0.028
D10,0.029,0.029,0.029
E10,0.03,0.03,0.03
F10,0.037,0.037,0.036
G10,0.031,0.031,0.031
H10,0.036,0.036,0.036
A11,0.062,0.072,0.054
B11,0.031,0.031,0.031
C11,0.031,0.031,0.03
D11,0.029,0.03,0.029
E11,0.04,0.04,0.039
F11,0.034,0.034,0.034
G11,0.032,0.032,0.032
H11,0.03,0.03,0.03
A12,0.096,0.106,0.084
B12,0.037,0.036,0.036
C12,0.047,0.047,0.046
D12,0.036,0.036,0.036
E12,0.03,0.031,0.03
F12,0.036,0.036,0.036
G12,0.041,0.041,0.04
H12,0.043,0.043,0.042
