Well,Chl:630,Chl:663,Chl:750
A1,0.141,0.176,0.115
B1,0.036,0.035,0.034
C1,0.039,0.039,0.038
D1,0.035,0.035,0.035
E1,0.034,0.034,0.034
F1,0.041,0.041,0.041
G1,0.04,0.04,0.04
H1,0.038,0.038,0.038
A2,0.116,0.158,0.092
B2,0.036,0.036,0.035
C2,0.029,0.029,0.028
D2,0.031,0.031,0.031
E2,0.05,0.05,0.05
F2,0.04,0.041,0.04
G2,0.037,0.037,0.037
H2,0.065,0.065,0.065
A3,0.158,0.202,0.136
B3,0.038,0.038,0.037
C3,0.03,0.03,0.03
D3,0.031,0.03,0.03
E3,0.031,0.031,0.031
F3,0.032,0.033,0.032
G3,0.033,0.033,0.033
H3,0.067,0.066,0.066
A4,0.093,0.124,0.075
B4,0.031,0.031,0.031
C4,0.032,0.031,0.031
D4,0.031,0.031,0.031
E4,0.031,0.031,0.031
F4,0.032,0.032,0.031
G4,0.061,0.062,0.061
H4,0.052,0.052,0.052
A5,0.1,0.134,0.082
B5,0.03,0.03,0.029
C5,0.03,0.03,0.03
D5,0.031,0.031,0.03
E5,0.033,0.033,0.033
F5,0.04,0.04,0.04
G5,0.044,0.044,0.043
H5,0.052,0.052,0.052
A6,0.096,0.13,0.077
B6,0.03,0.031,0.03
C6,0.029,0.029,0.029
D6,0.031,0.031,0.03
E6,0.037,0.037,0.037
F6,0.038,0.038,0.037
G6,0.034,0.034,0.034
H6,0.067,0.067,0.066
A7,0.066,0.071,0.059
B7,0.032,0.032,0.032
C7,0.03,0.029,0.029
D7,0.031,0.031,0.031
E7,0.031,0.031,0.031
F7,0.039,0.039,0.039
G7,0.03,0.03,0.029
H7,0.05,0.05,0.049
A8,0.077,0.082,0.067
B8,0.037,0.037,0.037
C8,0.032,0.032,0.032
D8,0.033,0.033,0.032
E8,0.03,0.03,0.03
F8,0.035,0.036,0.035
G8,0.03,0.03,0.03
H8,0.043,0.044,0.043
A9,0.071,0.076,0.06
B9,0.03,0.03,0.03
C9,0.062,0.062,0.062
D9,0.034,0.034,0.034
E9,0.031,0.032,0.031
F9,0.038,0.038,0.038
G9,0.032,0.032,0.031
H9,0.041,0.041,0.04
A10,0.053,0.06,0.048
B10,0.03,0.03,0.03
C10,0.032,0.032,0.032
D10,0.031,0.031,0.03
E10,0.029,0.029,0.029
F10,0.037,0.037,0.036
G10,0.03,0.03,0.03
H10,0.042,0.042,0.042
A11,0.066,0.071,0.052
B11,0.031,0.032,0.032
C11,0.033,0.033,0.032
D11,0.029,0.03,0.029
E11,0.039,0.039,0.039
F11,0.032,0.032,0.032
G11,0.033,0.034,0.033
H11,0.031,0.031,0.031
A12,0.056,0.064,0.05
B12,0.034,0.034,0.034
C12,0.042,0.042,0.041
D12,0.035,0.035,0.034
E12,0.031,0.031,0.031
F12,0.035,0.035,0.035
G12,0.043,0.043,0.042
H12,0.042,0.043,0.042
