Well,Chl:630,Chl:663,Chl:750
A1,0.129,0.146,0.112
B1,0.036,0.037,0.036
C1,0.035,0.034,0.034
D1,0.043,0.043,0.042
E1,0.046,0.046,0.046
F1,0.063,0.063,0.062
G1,0.035,0.035,0.035
H1,0.037,0.037,0.036
A2,0.134,0.154,0.116
B2,0.041,0.041,0.04
C2,0.033,0.033,0.033
D2,0.036,0.036,0.035
E2,0.039,0.039,0.038
F2,0.048,0.047,0.047
G2,0.056,0.055,0.055
H2,0.05,0.05,0.05
A3,0.143,0.165,0.124
B3,0.032,0.032,0.032
C3,0.033,0.033,0.033
D3,0.048,0.047,0.045
E3,0.043,0.043,0.041
F3,0.045,0.045,0.044
G3,0.032,0.032,0.031
H3,0.038,0.038,0.038
A4,0.203,0.221,0.179
B4,0.032,0.032,0.032
C4,0.035,0.035,0.035
D4,0.042,0.042,0.041
E4,0.035,0.035,0.035
F4,0.043,0.042,0.042
G4,0.046,0.046,0.046
H4,0.032,0.032,0.031
A5,0.147,0.169,0.127
B5,0.039,0.038,0.038
C5,0.033,0.033,0.032
D5,0.04,0.04,0.04
E5,0.033,0.034,0.033
F5,0.035,0.035,0.034
G5,0.037,0.036,0.036
H5,0.037,0.038,0.037
A6,0.154,0.177,0.132
B6,0.033,0.033,0.032
C6,0.033,0.033,0.033
D6,0.041,0.041,0.041
E6,0.039,0.039,0.038
F6,0.038,0.038,0.037
G6,0.032,0.032,0.032
H6,0.034,0.034,0.034
A7,0.185,0.201,0.167
B7,0.033,0.033,0.033
C7,0.034,0.034,0.034
D7,0.036,0.036,0.035
E7,0.069,0.069,0.068
F7,0.052,0.052,0.051
G7,0.036,0.036,0.035
H7,0.035,0.035,0.034
A8,0.244,0.266,0.222
B8,0.03,0.029,0.029
C8,0.034,0.034,0.034
D8,0.033,0.032,0.032
E8,0.032,0.031,0.031
F8,0.038,0.037,0.037
G8,0.032,0.032,0.032
H8,0.036,0.036,0.036
A9,0.203,0.22,0.18
B9,0.028,0.028,0.028
C9,0.052,0.051,0.051
D9,0.058,0.058,0.057
E9,0.045,0.044,0.044
F9,0.038,0.038,0.037
G9,0.038,0.038,0.038
H9,0.037,0.037,0.037
A10,0.184,0.203,0.169
B10,0.03,0.03,0.03
C10,0.033,0.033,0.032
D10,0.031,0.031,0.03
E10,0.03,0.03,0.03
F10,0.042,0.043,0.042
G10,0.033,0.033,0.033
H10,0.044,0.044,0.044
A11,0.176,0.198,0.159
B11,0.031,0.031,0.031
C11,0.037,0.038,0.037
D11,0.035,0.035,0.035
E11,0.05,0.05,0.049
F11,0.034,0.034,0.034
G11,0.031,0.031,0.03
H11,0.04,0.04,0.04
A12,0.182,0.196,0.157
B12,0.036,0.035,0.035
C12,0.042,0.042,0.042
D12,0.042,0.041,0.041
E12,0.035,0.035,0.035
F12,0.04,0.04,0.04
G12,0.055,0.054,0.053
H12,0.062,0.061,0.061
