Well,Chl:630,Chl:663,Chl:750
A1,0.103,0.104,0.094
B1,0.037,0.036,0.035
C1,0.036,0.036,0.037
D1,0.05,0.05,0.05
E1,0.048,0.048,0.047
F1,0.064,0.063,0.062
G1,0.034,0.034,0.034
H1,0.039,0.039,0.039
A2,0.129,0.132,0.122
B2,0.035,0.035,0.035
C2,0.034,0.033,0.033
D2,0.035,0.035,0.035
E2,0.071,0.071,0.071
F2,0.035,0.035,0.035
G2,0.049,0.049,0.049
H2,0.053,0.052,0.051
A3,0.113,0.117,0.107
B3,0.033,0.033,0.032
C3,0.032,0.032,0.032
D3,0.035,0.035,0.034
E3,0.048,0.047,0.047
F3,0.056,0.055,0.055
G3,0.05,0.05,0.05
H3,0.06,0.06,0.059
A4,0.192,0.205,0.168
B4,0.033,0.033,0.032
C4,0.034,0.034,0.034
D4,0.035,0.035,0.035
E4,0.057,0.057,0.057
F4,0.04,0.039,0.039
G4,0.046,0.046,0.046
H4,0.059,0.059,0.059
A5,0.223,0.242,0.197
B5,0.029,0.029,0.029
C5,0.032,0.032,0.032
D5,0.037,0.037,0.037
E5,0.048,0.047,0.047
F5,0.051,0.051,0.051
G5,0.054,0.054,0.054
H5,0.052,0.052,0.052
A6,0.217,0.234,0.191
B6,0.029,0.029,0.028
C6,0.032,0.032,0.032
D6,0.033,0.033,0.033
E6,0.043,0.042,0.042
F6,0.052,0.051,0.051
G6,0.037,0.037,0.037
H6,0.07,0.07,0.07
A7,0.16,0.173,0.14
B7,0.035,0.035,0.034
C7,0.035,0.035,0.034
D7,0.033,0.033,0.033
E7,0.036,0.036,0.035
F7,0.047,0.048,0.048
G7,0.117,0.117,0.115
H7,0.08,0.079,0.079
A8,0.188,0.201,0.159
B8,0.031,0.031,0.03
C8,0.032,0.032,0.032
D8,0.031,0.031,0.03
E8,0.051,0.051,0.052
F8,0.075,0.074,0.073
G8,0.035,0.035,0.035
H8,0.053,0.053,0.052
A9,0.259,0.276,0.235
B9,0.031,0.031,0.031
C9,0.042,0.042,0.041
D9,0.032,0.032,0.031
E9,0.027,0.027,0.027
F9,0.057,0.056,0.056
G9,0.031,0.031,0.031
H9,0.062,0.061,0.061
A10,0.18,0.199,0.167
B10,0.031,0.031,0.031
C10,0.033,0.033,0.033
D10,0.03,0.03,0.03
E10,0.031,0.031,0.03
F10,0.064,0.064,0.064
G10,0.046,0.045,0.045
H10,0.048,0.048,0.048
A11,0.203,0.223,0.185
B11,0.032,0.032,0.032
C11,0.038,0.037,0.037
D11,0.03,0.03,0.03
E11,0.041,0.041,0.042
F11,0.051,0.05,0.05
G11,0.048,0.048,0.049
H11,0.052,0.052,0.052
A12,0.197,0.211,0.17
B12,0.036,0.036,0.036
C12,0.038,0.038,0.038
D12,0.032,0.032,0.032
E12,0.031,0.031,0.031
F12,0.057,0.056,0.056
G12,0.08,0.077,0.075
H12,0.057,0.057,0.056
