Well,Chl:630,Chl:663,Chl:750
A1,0.069,0.072,0.058
B1,0.041,0.041,0.04
C1,0.033,0.033,0.032
D1,0.036,0.036,0.036
E1,0.048,0.048,0.047
F1,0.043,0.043,0.042
G1,0.037,0.038,0.037
H1,0.036,0.036,0.035
A2,0.073,0.079,0.064
B2,0.053,0.053,0.052
C2,0.055,0.055,0.054
D2,0.043,0.043,0.043
E2,0.044,0.044,0.044
F2,0.045,0.045,0.044
G2,0.051,0.051,0.051
H2,0.054,0.054,0.053
A3,0.105,0.111,0.095
B3,0.034,0.034,0.033
C3,0.031,0.032,0.031
D3,0.035,0.035,0.034
E3,0.036,0.035,0.035
F3,0.051,0.051,0.051
G3,0.048,0.048,0.048
H3,0.05,0.05,0.049
A4,0.084,0.094,0.072
B4,0.033,0.033,0.032
C4,0.037,0.037,0.037
D4,0.039,0.039,0.037
E4,0.045,0.044,0.043
F4,0.05,0.05,0.05
G4,0.052,0.052,0.052
H4,0.044,0.045,0.044
A5,0.098,0.11,0.082
B5,0.039,0.04,0.037
C5,0.031,0.031,0.03
D5,0.033,0.033,0.033
E5,0.04,0.041,0.04
F5,0.053,0.051,0.05
G5,0.067,0.067,0.066
H5,0.045,0.045,0.045
A6,0.116,0.147,0.123
B6,0.043,0.043,0.043
C6,0.032,0.031,0.031
D6,0.033,0.033,0.033
E6,0.043,0.043,0.043
F6,0.043,0.043,0.042
G6,0.033,0.033,0.032
H6,0.061,0.061,0.061
A7,0.069,0.077,0.063
B7,0.035,0.036,0.035
C7,0.036,0.036,0.036
D7,0.033,0.033,0.033
E7,0.033,0.033,0.032
F7,0.054,0.054,0.053
G7,0.033,0.034,0.033
H7,0.045,0.045,0.045
A8,0.075,0.075,0.059
B8,0.033,0.033,0.033
C8,0.034,0.034,0.034
D8,0.033,0.033,0.033
E8,0.031,0.031,0.03
F8,0.037,0.037,0.036
G8,0.033,0.033,0.033
H8,0.034,0.034,0.034
A9,0.069,0.076,0.062
B9,0.034,0.034,0.033
C9,0.057,0.057,0.056
D9,0.041,0.041,0.041
E9,0.038,0.038,0.038
F9,0.056,0.055,0.055
G9,0.042,0.042,0.041
H9,0.035,0.035,0.035
A10,0.06,0.063,0.052
B10,0.032,0.032,0.031
C10,0.032,0.032,0.032
D10,0.031,0.031,0.031
E10,0.03,0.03,0.03
F10,0.037,0.037,0.036
G10,0.031,0.031,0.031
H10,0.035,0.036,0.035
A11,0.063,0.07,0.057
B11,0.033,0.034,0.033
C11,0.031,0.031,0.031
D11,0.033,0.033,0.033
E11,0.042,0.042,0.041
F11,0.034,0.035,0.034
G11,0.032,0.032,0.032
H11,0.031,0.032,0.031
A12,0.078,0.082,0.067
B12,0.035,0.035,0.034
C12,0.043,0.044,0.043
D12,0.038,0.038,0.038
E12,0.033,0.033,0.033
F12,0.038,0.038,0.037
G12,0.042,0.042,0.041
H12,0.049,0.048,0.047
