Well,Chl:630,Chl:663,Chl:750
A1,0.326,0.326,0.3
B1,0.036,0.036,0.035
C1,0.033,0.033,0.032
D1,0.039,0.039,0.039
E1,0.059,0.06,0.059
F1,0.052,0.052,0.051
G1,0.036,0.036,0.036
H1,0.042,0.042,0.042
A2,0.361,0.367,0.336
B2,0.035,0.035,0.034
C2,0.035,0.035,0.035
D2,0.036,0.036,0.036
E2,0.054,0.054,0.054
F2,0.059,0.059,0.058
G2,0.058,0.058,0.058
H2,0.047,0.047,0.047
A3,0.338,0.344,0.314
B3,0.032,0.032,0.031
C3,0.034,0.034,0.034
D3,0.037,0.037,0.037
E3,0.054,0.054,0.053
F3,0.037,0.038,0.037
G3,0.036,0.036,0.036
H3,0.04,0.04,0.04
A4,0.312,0.315,0.287
B4,0.033,0.033,0.033
C4,0.033,0.033,0.033
D4,0.046,0.044,0.043
E4,0.033,0.033,0.033
F4,0.059,0.059,0.06
G4,0.056,0.057,0.056
H4,0.035,0.035,0.04
A5,0.342,0.344,0.312
B5,0.032,0.032,0.031
C5,0.033,0.033,0.032
D5,0.035,0.035,0.035
E5,0.037,0.037,0.037
F5,0.04,0.04,0.039
G5,0.039,0.039,0.038
H5,0.036,0.036,0.036
A6,0.342,0.351,0.321
B6,0.031,0.031,0.031
C6,0.03,0.03,0.03
D6,0.039,0.039,0.039
E6,0.034,0.036,0.035
F6,0.039,0.039,0.038
G6,0.036,0.036,0.036
H6,0.037,0.038,0.037
A7,0.301,0.31,0.287
B7,0.033,0.033,0.033
C7,0.034,0.034,0.034
D7,0.033,0.033,0.033
E7,0.037,0.038,0.037
F7,0.059,0.058,0.057
G7,0.06,0.06,0.06
H7,0.033,0.033,0.033
A8,0.348,0.355,0.326
B8,0.03,0.03,0.03
C8,0.036,0.036,0.035
D8,0.035,0.035,0.035
E8,0.032,0.032,0.032
F8,0.043,0.043,0.043
G8,0.041,0.041,0.041
H8,0.06,0.06,0.06
A9,0.333,0.341,0.314
B9,0.045,0.046,0.046
C9,0.041,0.041,0.04
D9,0.041,0.041,0.041
E9,0.032,0.032,0.032
F9,0.043,0.043,0.043
G9,0.057,0.058,0.057
H9,0.043,0.043,0.043
A10,0.348,0.36,0.34
B10,0.03,0.03,0.03
C10,0.032,0.033,0.032
D10,0.031,0.031,0.031
E10,0.033,0.034,0.033
F10,0.047,0.047,0.047
G10,0.046,0.046,0.045
H10,0.049,0.049,0.049
A11,0.389,0.41,0.382
B11,0.031,0.031,0.031
C11,0.04,0.04,0.039
D11,0.031,0.031,0.031
E11,0.048,0.048,0.048
F11,0.064,0.064,0.063
G11,0.05,0.05,0.049
H11,0.081,0.081,0.081
A12,0.329,0.337,0.305
B12,0.036,0.036,0.036
C12,0.039,0.039,0.038
D12,0.041,0.041,0.041
E12,0.033,0.034,0.033
F12,0.052,0.052,0.052
G12,0.059,0.059,0.058
H12,0.068,0.068,0.067
