Well,Chl:630,Chl:663,Chl:750
A1,0.216,0.223,0.184
B1,0.041,0.04,0.039
C1,0.032,0.032,0.032
D1,0.043,0.043,0.042
E1,0.043,0.043,0.043
F1,0.063,0.063,0.062
G1,0.035,0.035,0.035
H1,0.037,0.037,0.036
A2,0.156,0.174,0.135
B2,0.041,0.041,0.04
C2,0.034,0.034,0.034
D2,0.033,0.033,0.033
E2,0.039,0.038,0.038
F2,0.046,0.046,0.046
G2,0.055,0.055,0.055
H2,0.049,0.049,0.049
A3,0.183,0.199,0.158
B3,0.033,0.033,0.032
C3,0.036,0.035,0.035
D3,0.05,0.047,0.046
E3,0.042,0.042,0.042
F3,0.045,0.045,0.044
G3,0.032,0.032,0.032
H3,0.038,0.038,0.037
A4,0.101,0.115,0.089
B4,0.032,0.032,0.032
C4,0.037,0.037,0.036
D4,0.043,0.042,0.042
E4,0.035,0.035,0.035
F4,0.042,0.042,0.042
G4,0.046,0.046,0.046
H4,0.033,0.033,0.033
A5,0.103,0.119,0.09
B5,0.045,0.044,0.043
C5,0.037,0.036,0.036
D5,0.04,0.039,0.038
E5,0.031,0.031,0.031
F5,0.035,0.035,0.035
G5,0.034,0.034,0.034
H5,0.037,0.038,0.037
A6,0.097,0.112,0.083
B6,0.033,0.033,0.033
C6,0.034,0.034,0.034
D6,0.041,0.041,0.04
E6,0.039,0.038,0.038
F6,0.038,0.038,0.037
G6,0.032,0.032,0.032
H6,0.034,0.034,0.034
A7,0.208,0.222,0.172
B7,0.035,0.034,0.034
C7,0.04,0.039,0.039
D7,0.033,0.032,0.032
E7,0.072,0.071,0.07
F7,0.053,0.053,0.052
G7,0.034,0.034,0.034
H7,0.032,0.032,0.032
A8,0.274,0.309,0.262
B8,0.03,0.03,0.03
C8,0.036,0.035,0.035
D8,0.034,0.034,0.034
E8,0.031,0.031,0.031
F8,0.036,0.036,0.036
G8,0.032,0.032,0.032
H8,0.036,0.036,0.036
A9,0.331,0.362,0.311
B9,0.036,0.035,0.035
C9,0.041,0.041,0.041
D9,0.056,0.055,0.054
E9,0.036,0.036,0.036
F9,0.037,0.036,0.036
G9,0.031,0.031,0.03
H9,0.037,0.036,0.036
A10,0.153,0.171,0.139
B10,0.03,0.03,0.03
C10,0.034,0.034,0.034
D10,0.029,0.029,0.029
E10,0.031,0.03,0.03
F10,0.039,0.039,0.038
G10,0.033,0.033,0.033
H10,0.036,0.036,0.036
A11,0.157,0.18,0.14
B11,0.031,0.031,0.031
C11,0.052,0.051,0.051
D11,0.037,0.037,0.036
E11,0.05,0.05,0.049
F11,0.034,0.034,0.034
G11,0.031,0.03,0.03
H11,0.039,0.039,0.039
A12,0.197,0.219,0.176
B12,0.036,0.036,0.035
C12,0.039,0.039,0.038
D12,0.037,0.037,0.036
E12,0.032,0.031,0.031
F12,0.035,0.035,0.035
G12,0.056,0.056,0.055
H12,0.065,0.064,0.064
